shap,group
0,0
0.003403641564157,1
0.000539271608729,1
0,2
0.000309297852083,3
3.92494867257692E-05,4
0.000117257248967,5
0,5
0.000148159392429,5
0,5
0.012328066573524,5
0,5
8.81613915182525E-05,5
0,5
0,5
0,5
0,5
0,5
0,5
0,5
0.001856263055464,6
0.001263719305979,6
0.002146741334963,6
0.001116797510689,6
0.000913509094564,6
0.000280256941103,7
0,7
0.000206472836138,7
0.000646463140272,7
0.000856640283172,7
0.000657013329381,8
0.000200204702673,8
0,8
4.1421479143868E-05,8
0.000970793653355,8
0.000769260573542,9
0.000431581546051,10
0.002675437263614,10
0.008157981786214,10
0.001557331650733,10
0.002440522929786,10
0.002896008433316,10
0,11
0,11
0,11
0.000204771426629,11
0,11
0,11
0.000175865403914,11
0,11
0,11
0.000452341179445,12
0.000910190963934,13
0,13
0,13
0.011001496625588,13
0,13
0.004739557432938,13
0.000207284894891,13
0.000331516534218,13
0,13
0,13
0,14
0,14
0.001248824512777,14
0.000549369934341,14
0.001483972864048,14
0,14
0,14
0.002334705572465,14
0.000876721937368,14
0.001171810119318,14
0.00045367308875,15
0.000100543410038,15
0.000233257176165,15
0,15
0.000798686202035,15
0.000133473102049,15
0.001293806813577,15
0.000614211916822,15
0.001446681591626,16
0.000601227977025,16
0.003691714550249,16
0.000345510653355,16
0.000266429334233,16
0.001124222163141,16
0,17
0,17
0.000405656546523,17
0.000439385600654,17
0.00035310187173,17
0.000595636604272,17
0.00064846360431,17
0.000984184297353,17
0.000245527593633,17
7.48780398196218E-05,17
0,17
0,17
0.001086512467676,17
0.001610987099376,17
0.000269569424948,17
0.000639555427972,17
0.001832379655203,18
0.000580964547401,18
0.001017993645915,19
0,20
0,20
0.000180540121569,20
0.000154829641448,20
0,20
0.000318194134418,20
0,20
4.7585096240973E-05,20
0.000318447054161,20
0.000574072097931,20
0,20
0.000196339266871,20
0,20
0,20
0,20
0,20
0,20
0,20
0.000114795256016,20
0,20
0,20
0,20
0,20
0,20
0,20
9.25244906497396E-05,20
0,20
0,20
0,20
0,20
0.000131794994716,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
4.1537428752928E-05,20
0,20
0,20
0,20
0.000279716896179,20
0,20
0,20
0.003684409246947,20
0.000246080697043,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0.001523274616645,20
0,20
0.000340427679707,20
0.001021245945085,20
0.000164586422062,20
0.0002304998006,20
0.000252986660859,20
0.000353242960196,20
0.002215691664295,20
0.000736507216735,20
0.000658543007517,20
0.000412137118325,20
0.001190111738804,20
0.000922354983586,20
0,20
0,20
0,20
7.17102216274444E-05,20
0.000207634935517,20
0,20
0,20
0,20
0,20
0,20
0.000901180564423,20
0.000459701220385,20
0,20
0.001297400469893,20
0.000520068148018,20
0.000158615839415,20
0.000298178683002,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0.000712308623828,20
0,20
0.000279609270505,20
0,20
0.000273411083477,20
0.001441665150633,20
0.000591640283125,20
0,20
0,20
0.001151323887882,20
0.000385559533475,20
9.43394438321325E-05,20
0.000159821671775,20
0,20
0,20
0,20
0,20
7.02340777979712E-05,20
0.000118065679825,20
0,20
0,20
0.001073294778964,20
0.000209190163997,20
0.000161643171691,20
0,20
0,20
0,20
0.002121674609323,20
0.000571687809838,20
0.000500671571872,20
6.59283464666598E-05,20
0,20
0,20
0.000159986917805,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
6.34858840985664E-05,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0.000391497807089,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0.001038216937233,20
0,20
0.000859848247358,20
0.000177117082957,20
0.000312300915578,20
0.000211445345881,20
0.000277119262821,20
0.00571358981282,20
0.000178063828118,20
0.001089087849002,20
0.000286896020411,20
0.000224917655658,20
0.004461261782566,20
0.00794178030481,20
0,20
0,20
0,20
0.000760307999655,20
0,20
0,20
0,20
0,20
0,20
0,20
0.000141563678747,20
0.000544109545036,20
0,20
0.000377845721299,20
0.000452958198299,20
0.000228769178165,20
0.00042483738191,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0.000732795017389,20
0,20
0.001319635265501,20
0,20
0.002169173621317,20
0.000502724554272,20
0.000936296139298,20
0,20
0,20
0.001540296663088,20
5.04003398745905E-05,20
0.000186007309513,20
0,20
0,20
0,20
0,20
0,20
0.000183997935278,20
8.56251336681466E-05,20
0,20
0,20
0,20
0.000753007457611,20
0.004578444018177,20
0,20
0,20
0,20
0.003297870871288,20
0.000999669569014,20
0.003786189553765,20
0,20
0,20
0,20
0.000447314468263,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0.000195290025456,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0.000828820637632,20
0,20
0.002573946853768,20
0.001554182377556,20
0.00018060968376,20
0.000162054093727,20
0,20
0.001926058661462,20
4.85468003955766E-05,20
0.000257798177928,20
0.000866726550693,20
0.000672366460218,20
0.00179243221007,20
0.014768902333357,20
0,20
0,20
0,20
0.000175317876871,20
0,20
0,20
0,20
0,20
0,20
0,20
0.000532673003666,20
0.000655363610593,20
0,20
0.000766871304019,20
0.000283105616637,20
0,20
0.000658229718005,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0.00032605923423,20
0,20
0.000441450786667,20
0,20
0.000547538469984,20
0.0004341750595,20
0.001440681264414,20
0,20
0,20
0.001490855480373,20
0.001180577732758,20
0,20
8.84263414999962E-05,20
0,20
0,20
0,20
0,20
0.000189714646005,20
6.28946116425325E-05,20
0,20
0,20
0,20
7.3991088788992E-05,20
0,20
0,20
0,20
0,20
0.001954625202579,20
0.000328404036084,20
0.004252259508254,20
0,20
0,20
0,20
0.001199655182314,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0.000123318170757,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0,20
0.001084961712086,20
0.000334141434024,20
0,20
0.00073976969222,20
0.000729824649975,20
0.020361509294143,20
0.000262118230376,20
0.001655306633616,20
0.000429274178774,20
0.000341392445051,20
0.000488337124533,20
0.000355787909827,20
0.000321694549645,21
0.000637998082186,21
0,21
0,21
0.000215101427998,21
0.000565957550668,21
0.000456862130997,21
0.000239956490356,21
0.000836833215446,21
0,21
0.000679559793122,21
0.00104540087662,21
0.000806828145709,21
0,21
0.000198600610075,21
0,21
0.000569514271806,21
0.001508035497725,21
0.000152872550904,21
0.000840085497111,21
0.001007967597881,21
9.30502490505392E-05,21
0.00072270934318,21
0,21
0.000556167511278,21
0.000780475932693,21
0.000597801352855,21
0,21
0.002800248629464,21
0.000540549191809,21
0.000450680126769,21
0.000338404606978,21
0.000490558452275,21
0.000400842586947,21
0.000341560935339,21
0.000135319787054,21
0,21
0.000442311836251,21
0.00022041733779,21
0.000381525897267,21
0.000801794158103,21
0.001203472296088,21
0.001032079509307,21
0.000377578730104,22
0.000575436043432,23
0.010890584663953,24
0.000431575342854,24
0,24
0.001536899249101,24
0,25
0,25
0.00023145006087,26
0.000662690965603,27
0.001554904428195,27
0.002400718794114,27
0.000907648909013,28
7.49969258365913E-05,29
0.00122817927414,30
0.007547196322536,31
0.000292224394757,32
0.000641049620481,33
0.000366144890281,33
0.000850617320676,33
0.000330003067942,33
0.000631979654485,33
0.02649229066388,33
0.000148540216853,33
0.003092656596503,33
0.000280228143376,33
0,33
0.002765187864504,33
0.004820102640234,33
0.000139809212671,33
0,33
0,33
0,33
0,33
0.000229359858102,33
0,33
0.009135027020341,34
0.001206975621265,34
0.001078922140547,34
0.00087531993556,34
0.001192023005259,34
0.000229212062676,34
0.000544726855735,35
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
9.58061012763948E-05,36
0,36
0,36
0,36
0,36
0,36
0.001047504191184,36
0.000117194134081,36
0,36
0,36
0,36
6.60359462429403E-05,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0,36
0.000364275225098,37
0,38
0.004386297528203,39
0.000756712583082,40
0.000173198061086,42
4.53575516584741E-05,43
0.000288115063799,43
0.000259000239072,43
0.001124188383672,43
0.002205757923035,43
0.000392770470113,44
9.03700438289448E-05,44
0.003316469795242,45
0,46
